model,test_set,accuracy,precision,recall,f1,roc_auc
TF-IDF General,general,0.9788,0.9705,0.9875,0.9789,0.998
TF-IDF General,blockchain,0.5126,0.5065,0.9824,0.6684,0.601
TF-IDF Blockchain,general,0.4969,0.4981,0.8287,0.6222,0.5471
TF-IDF Blockchain,blockchain,0.9749,0.9565,0.995,0.9754,0.9975
DistilBERT General,general,0.9875,0.9851,0.99,0.9875,0.9967
DistilBERT General,blockchain,0.4774,0.485,0.7312,0.5832,0.5237
BERT General,general,0.9906,0.9876,0.9938,0.9907,0.9982
BERT General,blockchain,0.4849,0.4905,0.7789,0.6019,0.5535
RoBERTa General,general,0.9906,0.9888,0.9925,0.9906,0.9984
RoBERTa General,blockchain,0.5415,0.528,0.7814,0.6302,0.6001
DistilBERT Blockchain,general,0.9531,0.9459,0.9613,0.9535,0.988
DistilBERT Blockchain,blockchain,0.9862,0.9899,0.9824,0.9861,0.9985
BERT Blockchain,general,0.9694,0.953,0.9875,0.9699,0.9927
BERT Blockchain,blockchain,0.9899,0.9899,0.9899,0.9899,0.9996
RoBERTa Blockchain,general,0.9775,0.9872,0.9675,0.9773,0.9968
RoBERTa Blockchain,blockchain,0.9962,0.995,0.9975,0.9962,0.9999
