test_set,model_a,model_b,b,c,chi2,p_value,stars
general,TF-IDF General,TF-IDF Blockchain,784,13,743.9147,0.0,***
general,TF-IDF General,DistilBERT General,8,22,5.6333,0.017622,*
general,TF-IDF General,BERT General,3,22,12.96,0.000318,***
general,TF-IDF General,RoBERTa General,5,24,11.1724,0.00083,***
general,TF-IDF General,DistilBERT Blockchain,62,21,19.2771,1.1e-05,***
general,TF-IDF General,BERT Blockchain,37,22,3.322,0.068357,ns
general,TF-IDF General,RoBERTa Blockchain,25,23,0.0208,0.885234,ns
general,TF-IDF Blockchain,DistilBERT General,7,792,769.2816,0.0,***
general,TF-IDF Blockchain,BERT General,4,794,780.1015,0.0,***
general,TF-IDF Blockchain,RoBERTa General,6,796,776.2107,0.0,***
general,TF-IDF Blockchain,DistilBERT Blockchain,24,754,683.0861,0.0,***
general,TF-IDF Blockchain,BERT Blockchain,10,766,734.5683,0.0,***
general,TF-IDF Blockchain,RoBERTa Blockchain,22,791,725.4908,0.0,***
general,DistilBERT General,BERT General,3,8,1.4545,0.2278,ns
general,DistilBERT General,RoBERTa General,4,9,1.2308,0.267257,ns
general,DistilBERT General,DistilBERT Blockchain,61,6,43.5224,0.0,***
general,DistilBERT General,BERT Blockchain,38,9,16.6809,4.4e-05,***
general,DistilBERT General,RoBERTa Blockchain,23,7,7.5,0.00617,**
general,BERT General,RoBERTa General,4,4,0.125,0.723674,ns
general,BERT General,DistilBERT Blockchain,64,4,51.1912,0.0,***
general,BERT General,BERT Blockchain,40,6,23.6739,1e-06,***
general,BERT General,RoBERTa Blockchain,25,4,13.7931,0.000204,***
general,RoBERTa General,DistilBERT Blockchain,65,5,49.7286,0.0,***
general,RoBERTa General,BERT Blockchain,41,7,22.6875,2e-06,***
general,RoBERTa General,RoBERTa Blockchain,25,4,13.7931,0.000204,***
general,DistilBERT Blockchain,BERT Blockchain,15,41,11.1607,0.000835,***
general,DistilBERT Blockchain,RoBERTa Blockchain,15,54,20.9275,5e-06,***
general,BERT Blockchain,RoBERTa Blockchain,22,35,2.5263,0.111961,ns
blockchain,TF-IDF General,TF-IDF Blockchain,2,370,362.0672,0.0,***
blockchain,TF-IDF General,DistilBERT General,103,75,4.0955,0.042997,*
blockchain,TF-IDF General,BERT General,89,67,2.8269,0.092696,ns
blockchain,TF-IDF General,RoBERTa General,83,106,2.5608,0.10954,ns
blockchain,TF-IDF General,DistilBERT Blockchain,7,384,361.5754,0.0,***
blockchain,TF-IDF General,BERT Blockchain,4,384,370.2088,0.0,***
blockchain,TF-IDF General,RoBERTa Blockchain,1,386,381.0233,0.0,***
blockchain,TF-IDF Blockchain,DistilBERT General,402,6,382.4142,0.0,***
blockchain,TF-IDF Blockchain,BERT General,396,6,376.4204,0.0,***
blockchain,TF-IDF Blockchain,RoBERTa General,352,7,329.6267,0.0,***
blockchain,TF-IDF Blockchain,DistilBERT Blockchain,7,16,2.7826,0.095293,ns
blockchain,TF-IDF Blockchain,BERT Blockchain,5,17,5.5,0.019016,*
blockchain,TF-IDF Blockchain,RoBERTa Blockchain,1,18,13.4737,0.000242,***
blockchain,DistilBERT General,BERT General,36,42,0.3205,0.5713,ns
blockchain,DistilBERT General,RoBERTa General,29,80,22.9358,2e-06,***
blockchain,DistilBERT General,DistilBERT Blockchain,8,413,387.6865,0.0,***
blockchain,DistilBERT General,BERT Blockchain,6,414,394.4024,0.0,***
blockchain,DistilBERT General,RoBERTa Blockchain,2,415,407.06,0.0,***
blockchain,BERT General,RoBERTa General,32,77,17.7615,2.5e-05,***
blockchain,BERT General,DistilBERT Blockchain,8,407,381.6964,0.0,***
blockchain,BERT General,BERT Blockchain,6,408,388.4082,0.0,***
blockchain,BERT General,RoBERTa Blockchain,2,409,401.0608,0.0,***
blockchain,RoBERTa General,DistilBERT Blockchain,8,362,336.7811,0.0,***
blockchain,RoBERTa General,BERT Blockchain,4,361,347.2219,0.0,***
blockchain,RoBERTa General,RoBERTa Blockchain,1,363,358.0247,0.0,***
blockchain,DistilBERT Blockchain,BERT Blockchain,3,6,0.4444,0.504985,ns
blockchain,DistilBERT Blockchain,RoBERTa Blockchain,2,10,4.0833,0.043308,*
blockchain,BERT Blockchain,RoBERTa Blockchain,1,6,2.2857,0.13057,ns
