,accuracy,accuracy,f1,f1,precision,precision,recall,recall,roc_auc,roc_auc
test_set,blockchain,general,blockchain,general,blockchain,general,blockchain,general,blockchain,general
model,,,,,,,,,,
TF-IDF General,0.5126,0.9788,0.6684,0.9789,0.5065,0.9705,0.9824,0.9875,0.601,0.998
TF-IDF Blockchain,0.9749,0.4969,0.9754,0.6222,0.9565,0.4981,0.995,0.8287,0.9975,0.5471
DistilBERT General,0.4774,0.9875,0.5832,0.9875,0.485,0.9851,0.7312,0.99,0.5237,0.9967
BERT General,0.4849,0.9906,0.6019,0.9907,0.4905,0.9876,0.7789,0.9938,0.5535,0.9982
RoBERTa General,0.5415,0.9906,0.6302,0.9906,0.528,0.9888,0.7814,0.9925,0.6001,0.9984
DistilBERT Blockchain,0.9862,0.9531,0.9861,0.9535,0.9899,0.9459,0.9824,0.9613,0.9985,0.988
BERT Blockchain,0.9899,0.9694,0.9899,0.9699,0.9899,0.953,0.9899,0.9875,0.9996,0.9927
RoBERTa Blockchain,0.9962,0.9775,0.9962,0.9773,0.995,0.9872,0.9975,0.9675,0.9999,0.9968
